time_period,source,location,material,SLCA_EF - Child labor impact (worker hour/kg),SLCA_EF - Forced labor impact (worker hour/kg),SLCA_EF - Fatal injury impact (worker hour/kg),SLCA_EF - Non-fatal injury impact (worker hour/kg),SLCA_EF - Unemployment impact (worker hour/kg)
1,molten_salt electrolysis,MY,neodynium,Not available,Not available,Not available,Not available,Not available
1,molten_salt electrolysis,US,neodynium,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,AU,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,BR,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,CA,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,CN,dysprosium_oxide,0.000709289,0.007092891,0.000709289,0.000709289,-0.007092891
1,sulfuric acid digestion,EE,dysprosium_oxide,4.17E-05,0.000417229,4.17E-05,0.000417229,-0.000417229
1,sulfuric acid digestion,JP,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,MM,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,MY,dysprosium_oxide,4.17E-05,0.000417229,0.004172289,0.417228853,-0.000417229
1,sulfuric acid digestion,US,dysprosium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,AU,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,BR,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,CA,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,CN,neodynium_oxide,0.000709289,0.007092891,0.000709289,0.000709289,-0.007092891
1,sulfuric acid digestion,EE,neodynium_oxide,4.17E-05,0.000417229,4.17E-05,0.000417229,-0.000417229
1,sulfuric acid digestion,JP,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,MM,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,sulfuric acid digestion,MY,neodynium_oxide,4.17E-05,0.000417229,0.004172289,0.417228853,-0.000417229
1,sulfuric acid digestion,US,neodynium_oxide,Not available,Not available,Not available,Not available,Not available
1,cryogenic,US,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
1,direct reuse,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,hydrometallurgical,US,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
1,magnet-to-magnet recycling,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,magnet_market_mix,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
1,pyrometallurgical,US,neodynium dysprosium iron alloy,Not available,Not available,Not available,Not available,Not available
1,use phase,US,hp_magnet,Not available,Not available,Not available,Not available,Not available
2,beneficiation,AU,flurocarbonate,2.59E-05,2.59E-05,2.59E-05,0.000259219,-0.000259219
2,beneficiation,BR,flurocarbonate,Not available,Not available,Not available,Not available,Not available
2,beneficiation,CA,flurocarbonate,Not available,Not available,Not available,Not available,Not available
2,beneficiation,CN,flurocarbonate,0.000162012,0.001620119,0.000162012,0.000162012,-0.001620119
2,beneficiation,EE,flurocarbonate,Not available,Not available,Not available,Not available,Not available
2,beneficiation,JP,flurocarbonate,Not available,Not available,Not available,Not available,Not available
2,beneficiation,MM,flurocarbonate,0.000259219,0.025921902,2.59E-05,2.59E-05,-2.59E-05
2,beneficiation,MY,flurocarbonate,Not available,Not available,Not available,Not available,Not available
2,beneficiation,US,flurocarbonate,2.16E-06,2.16E-06,2.16E-06,0.000216016,-2.16E-05
