lcia,value,lcia_unit,year,method,location,process,unit of functional demand,functional unit,run_location
Ecotoxicity: Freshwater No Lt,0.791140423,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Eutrophication Potential No Lt,5.37E-05,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity: Carcinogenic No Lt,5.36E-09,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity: Non-Carcinogenic No Lt,6.01E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Ozone Depletion Potential (Odp) No Lt,2.31E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp) No Lt,8.58E-05,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Maximum Incremental Reactivity (Mir) No Lt,0.005605339,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Acidification Potential (Ap),0.000793817,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Global Warming Potential (Gwp100),0.204751131,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Ecotoxicity: Freshwater,5.258022804,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Eutrophication Potential,0.000317955,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity: Carcinogenic,2.46E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity: Non-Carcinogenic,1.06E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Ozone Depletion Potential (Odp),2.31E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),8.60E-05,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Maximum Incremental Reactivity (Mir),0.005724769,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite HCL Digestion,kilogram,1,EE
Terrestrial Acidification Potential (Tap),0.000718394,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Global Warming Potential (Gwp1000),0.210292627,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Freshwater Ecotoxicity Potential (Fetp),0.017083786,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Marine Ecotoxicity Potential (Metp),0.022687879,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Terrestrial Ecotoxicity Potential (Tetp),1.52517256,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Fossil Fuel Potential (Ffp),0.045901433,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Freshwater Eutrophication Potential (Fep),3.32E-05,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Marine Eutrophication Potential (Mep),3.06E-06,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity Potential (Htpc),0.017591099,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Human Toxicity Potential (Htpnc),0.417797231,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Ionising Radiation Potential (Irp),0.001744132,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Agricultural Land Occupation (Lop),0.001637815,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Surplus Ore Potential (Sop),0.040398069,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Ozone Depletion Potential (Odpinfinite),2.92E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),0.000235783,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Photochemical Oxidant Formation Potential: Humans (Hofp),0.000237647,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.000259791,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Water Consumption Potential (Wcp),0.000965393,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite HCL Digestion,kilogram,1,EE
Adaptation to resources services loss (beta),0.328572931,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, long term, CO2 uptake",-0.002834652,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, long term, biogenic",0.003172436,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, long term, fossil",0.192650677,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, long term, land transformation",3.86E-05,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, short term, CO2 uptake",-0.002834652,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, short term, biogenic",0.003239798,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, short term, fossil",0.203258227,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Climate change, short term, land transformation",3.87E-05,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Fossil and nuclear energy use,2.151182258,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Freshwater acidification,0.000780606,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Freshwater ecotoxicity,79.94304225,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Freshwater eutrophication,7.57E-06,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Human toxicity cancer,5.40E-09,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Human toxicity non-cancer,3.83E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Ionizing radiations,0.244959349,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Land occupation, biodiversity",0.003007214,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
"Land transformation, biodiversity",2.09E-05,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Marine eutrophication,9.59E-06,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Mineral resources use,0.004270285,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Ozone layer depletion,2.47E-09,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Particulate matter formation,0.000100645,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Photochemical ozone formation,0.000237606,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Resources services deficit (beta),1.20E-05,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Terrestrial acidification,0.000796721,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Water scarcity,0.077227271,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite HCL Digestion,kilogram,1,EE
Acidification Potential (Ap) No Lt,0.002240493,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Global Warming Potential (Gwp100) No Lt,1.022719852,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Ecotoxicity: Freshwater No Lt,18.7832786,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Eutrophication Potential No Lt,0.166018678,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Human Toxicity: Carcinogenic No Lt,1.21E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Human Toxicity: Non-Carcinogenic No Lt,3.61E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Ozone Depletion Potential (Odp) No Lt,6.99E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp) No Lt,0.00140365,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Maximum Incremental Reactivity (Mir) No Lt,0.031677299,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Acidification Potential (Ap),0.002300656,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Global Warming Potential (Gwp100),1.023221128,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Ecotoxicity: Freshwater,34.96642528,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Eutrophication Potential,0.169195738,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Human Toxicity: Carcinogenic,5.51E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Human Toxicity: Non-Carcinogenic,3.76E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Ozone Depletion Potential (Odp),6.99E-09,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),0.001448876,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Maximum Incremental Reactivity (Mir),0.033697195,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Mining,kilogram,1,EE
Terrestrial Acidification Potential (Tap),0.001758742,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Global Warming Potential (Gwp1000),1.070767052,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Freshwater Ecotoxicity Potential (Fetp),0.100154512,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Marine Ecotoxicity Potential (Metp),0.144473855,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Terrestrial Ecotoxicity Potential (Tetp),19.27418717,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Fossil Fuel Potential (Ffp),0.136315602,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Freshwater Eutrophication Potential (Fep),0.008060551,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Marine Eutrophication Potential (Mep),0.018219214,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Human Toxicity Potential (Htpc),0.388588249,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Human Toxicity Potential (Htpnc),5.355103095,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Ionising Radiation Potential (Irp),0.027185433,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Agricultural Land Occupation (Lop),-0.009209102,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Surplus Ore Potential (Sop),0.022193309,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Ozone Depletion Potential (Odpinfinite),1.95E-06,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),0.000732148,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Photochemical Oxidant Formation Potential: Humans (Hofp),0.001371219,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.001425474,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Water Consumption Potential (Wcp),0.005274316,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Mining,kilogram,1,EE
Adaptation to resources services loss (beta),1.745924645,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, long term, CO2 uptake",-0.012536452,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, long term, biogenic",0.360778383,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, long term, fossil",0.565150818,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, long term, land transformation",0.000653816,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, short term, CO2 uptake",-0.012536452,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, short term, biogenic",0.416711657,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, short term, fossil",0.616884785,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Climate change, short term, land transformation",0.000653948,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Fossil and nuclear energy use,6.796843192,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Freshwater acidification,0.00151125,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Freshwater ecotoxicity,6537.489397,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Freshwater eutrophication,0.044626631,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Human toxicity cancer,1.31E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Human toxicity non-cancer,6.01E-07,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Ionizing radiations,3.610551306,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Land occupation, biodiversity",-0.025762677,m2 arable land eq .yr,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
"Land transformation, biodiversity",-0.000131717,m2 arable land eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Marine eutrophication,0.018014267,kg N N-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Mineral resources use,0.047204535,kg deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Ozone layer depletion,7.10E-09,kg CFC-11 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Particulate matter formation,0.000412872,kg PM2.5 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Photochemical ozone formation,0.001370519,kgNOxeq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Resources services deficit (beta),0.000198115,kg deficit,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Terrestrial acidification,0.001808249,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Water scarcity,-93.61592353,m3 world-eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Mining,kilogram,1,EE
Acidification Potential (Ap) No Lt,0.013934267,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Global Warming Potential (Gwp100) No Lt,2.574944373,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Ecotoxicity: Freshwater No Lt,3.675454276,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Eutrophication Potential No Lt,0.000602049,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity: Carcinogenic No Lt,1.25E-08,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity: Non-Carcinogenic No Lt,5.01E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Ozone Depletion Potential (Odp) No Lt,3.53E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp) No Lt,0.001171064,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Maximum Incremental Reactivity (Mir) No Lt,0.09347349,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Acidification Potential (Ap),0.014005014,kg SO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Global Warming Potential (Gwp100),2.575557759,kg CO2-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Ecotoxicity: Freshwater,64.2390134,CTUe,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Eutrophication Potential,0.004175547,kg N-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity: Carcinogenic,3.00E-07,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity: Non-Carcinogenic,1.11E-06,CTUh,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Ozone Depletion Potential (Odp),3.53E-08,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),0.001177743,PM2.5-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Maximum Incremental Reactivity (Mir),0.095943148,kg O3-Eq,ecoinvent_2020_SSP2-Base,TRACI2.1,EE,Monazite Roasting,kilogram,1,EE
Terrestrial Acidification Potential (Tap),0.012377091,kg SO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Global Warming Potential (Gwp1000),2.653120374,kg CO2-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Freshwater Ecotoxicity Potential (Fetp),0.200314647,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Marine Ecotoxicity Potential (Metp),0.266213353,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Terrestrial Ecotoxicity Potential (Tetp),24.20248599,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Fossil Fuel Potential (Ffp),0.652364768,kg oil-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Freshwater Eutrophication Potential (Fep),0.000452556,kg P-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Marine Eutrophication Potential (Mep),4.33E-05,kg N-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity Potential (Htpc),0.215254384,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Human Toxicity Potential (Htpnc),4.1750622,"kg 1,4-DCB-Eq",ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Ionising Radiation Potential (Irp),0.027553273,kg Co-60-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Agricultural Land Occupation (Lop),0.025012112,m2*a crop-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Surplus Ore Potential (Sop),0.028146521,kg Cu-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Ozone Depletion Potential (Odpinfinite),3.72E-07,kg CFC-11-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Particulate Matter Formation Potential (Pmfp),0.003876332,kg PM2.5-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Photochemical Oxidant Formation Potential: Humans (Hofp),0.003956879,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Photochemical Oxidant Formation Potential: Ecosystems (Eofp),0.004271194,kg NOx-Eq,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Water Consumption Potential (Wcp),0.012446741,cubic meter,ecoinvent_2020_SSP2-Base,RECIPE,EE,Monazite Roasting,kilogram,1,EE
Adaptation to resources services loss (beta),4.191012187,MJ,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, long term, CO2 uptake",-0.024719257,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, long term, biogenic",0.255920772,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, long term, fossil",2.195082239,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, long term, land transformation",0.000598245,kg CO2 eq (long),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, short term, CO2 uptake",-0.024719257,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, short term, biogenic",0.260162877,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, short term, fossil",2.340760158,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
"Climate change, short term, land transformation",0.000599066,kg CO2 eq (short),ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Fossil and nuclear energy use,30.76874525,MJ deprived,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Freshwater acidification,0.013256208,kg SO2 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Freshwater ecotoxicity,458.0248202,CTUe,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Freshwater eutrophication,3.00E-05,kg PO4 P-lim eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Human toxicity cancer,1.41E-08,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Human toxicity non-cancer,3.43E-07,CTUh,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
Ionizing radiations,3.891800938,Bq C-14 eq,ecoinvent_2020_SSP2-Base,IMPACT World+,EE,Monazite Roasting,kilogram,1,EE
