cost_usd,gwp_kg_co2eq,child_labor_hrs
216389.532738714,133522.616844968,2.818640686
216395.490720831,134294.827956457,2.776129259
216406.61190711,134005.248789703,2.790299735
216414.624539245,133619.143234035,2.811555448
216437.88178874,134391.354345376,2.769044021
216439.716454552,133715.669622954,2.80447021
216446.039012241,134101.775178618,2.783214497
216464.808340567,133812.196011874,2.797384973
216480.440525349,134487.880734296,2.761958784
216484.59769168,134625.178564593,2.754873546
216486.406473314,134198.301567538,2.776129259
216500.987811058,133908.722400783,2.790299735
216519.437021214,133522.616845116,2.811555448
216522.999276159,134584.407123215,2.754873546
216528.797555853,134294.827956457,2.769044021
216537.551812332,134005.248789703,2.783214497
216544.528907629,133619.143234035,2.80447021
216569.620807895,133715.669622954,2.797384973
216571.35629225,134391.354345377,2.761958784
216577.322240005,134101.775178618,2.776129259
216595.363729298,133812.196011864,2.790299735
216613.915028431,134487.880734296,2.754873546
216619.713336893,134198.301567538,2.769044021
216626.586887571,134616.138479941,2.747788308
216631.927731182,133908.722400784,2.783214497
216649.341389954,133522.616845116,2.80447021
216656.473766925,134584.407123215,2.747788308
216662.272058938,134294.827956457,2.761958784
216668.491718695,134005.248789703,2.776129259
216674.4332759,133619.143234035,2.797384973
216699.525191234,133715.669622954,2.790299735
216704.830795173,134391.354345376,2.754873546
216710.62908863,134101.775178619,2.769044021
216726.303620652,133812.196011864,2.783214497
216747.389530805,134487.880734296,2.747788308
216753.187825396,134198.301567538,2.761958784
216762.86763704,133908.722400784,2.776129259
216768.576018321,134607.098325391,2.74070307
216779.245790148,133522.616844969,2.797384973
216787.675121464,133426.090456258,2.802642068
216787.67516429,133426.090456258,2.802642067
216787.675174116,133426.09045622,2.802642374
216787.675216817,133426.09045622,2.802642373
216789.949341638,134584.407123046,2.740703016
216795.746608658,134294.827956287,2.754873546
216801.544869864,134005.248789699,2.769044021
216804.337658633,133619.143234035,2.790299735
216829.429618851,133715.669622807,2.783214497
216838.305298394,134391.354345376,2.747788308
216844.103606246,134101.775178619,2.761958784
216857.243526565,133812.196011864,2.776129259
216880.86403475,134487.880734296,2.74070307
216884.058211186,133426.090456197,2.797384973
216886.66232863,134198.301567538,2.754873546
216895.868023306,133908.722400784,2.769044021
216909.150111905,133522.616845116,2.790299735
216911.494611497,134598.37479441,2.733617832
216924.650372304,134584.407123215,2.733617832
216929.221064888,134294.827956457,2.747788308
216934.242012298,133619.143234035,2.783214497
216935.019406603,134005.24878953,2.761958783
216959.333987353,133715.669622807,2.776129259
216971.77987302,134391.354345207,2.74070307
216977.578109204,134101.775178619,2.754873546
216990.26344602,133812.196011864,2.769044021
217013.962593834,133426.090456197,2.790299735
217015.566186886,134487.880734126,2.733617832
217020.136831824,134198.301567538,2.747788308
217029.01666684,133908.722400784,2.761958784
217039.054494725,133522.616845116,2.783214497
217055.356400929,134589.97255988,2.726532594
217060.598242342,134584.407123215,2.726532594
217062.695568076,134294.827956457,2.74070307
217064.152957343,133619.143234035,2.776129259
217068.493876308,134005.248789699,2.754873546
217090.300634741,133715.669622807,2.769044021
217106.481905955,134391.354345377,2.733617832
217111.052597826,134101.775178619,2.747788308
217123.412066324,133812.196011864,2.761958784
217143.866962501,133426.090456196,2.783214497
217151.51402325,134487.880734296,2.726532594
217153.611334881,134198.301567538,2.74070307
217162.165263228,133908.722400784,2.754873546
217169.004513897,133522.616845116,2.776129259
217193.569393077,133329.564067339,2.786220479
217193.56939785,133329.564067339,2.786220478
217193.569453076,133329.564067301,2.786220784
217193.569494526,133329.564067301,2.786220783
217195.152158267,133619.143234035,2.769044021
217197.397672539,134294.827956457,2.733617832
217199.217971904,134581.570387819,2.719447366
217201.968379044,134005.248789699,2.747788308
217221.662631795,133715.669622952,2.761958784
217242.429774467,134391.354345376,2.726532594
217244.527100689,134101.775178618,2.74070307
217248.679404186,133329.564067277,2.783214497
217256.56068687,133812.196011864,2.754873546
217273.856076046,133426.090456196,2.776129259
217287.461892938,134487.880734296,2.719447357
217288.313439291,134198.301567538,2.733617832
217295.313906866,133908.722400784,2.747788308
217300.003743828,133522.616845116,2.769044021
217326.151418821,133619.143233888,2.761958783
217333.345542496,134294.827956457,2.726532594
217335.442938076,134005.24878953,2.74070307
217343.079868937,134573.167993855,2.712362119
217354.165138165,133715.669622799,2.754873094
217378.377659481,134391.354345377,2.719447357
217378.707658919,133329.56406713,2.776129259
217379.229206094,134101.775178618,2.733617832
217389.709306821,133812.196011864,2.747788308
217404.85530018,133426.090456197,2.769044021
217423.409739636,134487.880734296,2.712362119
217424.261309024,134198.301567538,2.726532594
217428.462512745,133908.722400784,2.74070307
217431.002944235,133522.616845116,2.761958784
217457.150603189,133619.143234035,2.754873546
217469.293426577,134294.827956457,2.719447357
217470.144960054,134005.248789699,2.733617832
217486.65072723,133715.6696228,2.747788308
217486.941623305,134564.765727639,2.705276881
