analyzed_process,analyzed_process_location,flow_name,flow_category,flow_subcategory,flow_unit,flow_uuid,amount,num_contributing_activities,source_process,source_material,lcia_method,lcia_category,profile_basis,raw_contribution_rows,num_contributing_regions
Bauxite mining__bauxite,GR,Nitrogen oxides (eutrophication potential),characterized inventory / eutrophication potential,total_life_cycle aggregated background activities,kg N-Eq,e342309a-4202-5128-858c-78cb6250193a,1.6139667501827445e-05,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Eutrophication Potential,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,28
Bauxite mining__bauxite,GR,Dinitrogen monoxide (global warming potential (GWP100)),characterized inventory / global warming potential (GWP100),total_life_cycle aggregated background activities,kg CO2-Eq,68bdbbbd-cbc0-513c-af5c-16e4c227d8df,0.011737687355425621,43,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Global Warming Potential (Gwp100),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,38
Bauxite mining__bauxite,GR,Arsenic ion (human toxicity: carcinogenic),characterized inventory / human toxicity: carcinogenic,total_life_cycle aggregated background activities,CTUh,98d0c61e-2798-5048-85c9-269268bf7287,4.1086949522734725e-10,18,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,13
Bauxite mining__bauxite,GR,"1,2-Dichlorobenzene (human toxicity: non-carcinogenic)",characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,0b0fa743-1b65-5b28-8248-4926f70d8779,1.6565224126661725e-10,10,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,123,7
Bauxite mining__bauxite,GR,Imidacloprid (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,6a68c586-6ebb-5fb9-a94e-80e7c882cc9d,1.5066024003373425e-11,4,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,31,4
Bauxite mining__bauxite,GR,Iprodione (human toxicity: non-carcinogenic),characterized inventory / human toxicity: non-carcinogenic,total_life_cycle aggregated background activities,CTUh,a4757e14-ac0f-521c-b455-02eca8d6ff7e,1.3224322540720766e-09,6,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Human Toxicity: Non-Carcinogenic,per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,6
Bauxite mining__bauxite,GR,Nitrogen oxides (maximum incremental reactivity (MIR)),characterized inventory / maximum incremental reactivity (MIR),total_life_cycle aggregated background activities,kg O3-Eq,8aa9db4d-703b-5f7c-9200-46c4058280a5,0.0026770293023446884,25,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Maximum Incremental Reactivity (Mir),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,200,17
Bauxite mining__bauxite,GR,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,545b96d9-91bf-5cdc-a128-cfa4bf914276,1.971447751103211e-09,13,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,85,11
Bauxite mining__bauxite,GR,"Methane, monochloro-, R-40 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,f9e99659-c794-59b6-ace3-4ceb77f38bfb,2.208087159185159e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,69,4
Bauxite mining__bauxite,GR,"Methane, tetrachloro-, R-10 (ozone depletion potential (ODP))",characterized inventory / ozone depletion potential (ODP),total_life_cycle aggregated background activities,kg CFC-11-Eq,e5d66e74-1533-51f2-baa1-e1b8198c4cee,4.573472994125852e-13,7,Bauxite mining,bauxite,TRACI2.1 characterized inventory,Ozone Depletion Potential (Odp),per kg topology production output; total_life_cycle characterized inventory from LiAISON patch-v2,46,7
